Datetime,Open,High,Low,Close,Volume
2026-04-23 09:15:00+05:30,12002.0,12011.0,11947.0,11959.0,0
2026-04-23 09:20:00+05:30,11952.0,12045.0,11944.0,12029.0,9324
2026-04-23 09:25:00+05:30,12028.0,12081.0,12027.0,12081.0,4956
2026-04-23 09:30:00+05:30,12090.0,12095.0,12077.0,12081.0,4706
2026-04-23 09:35:00+05:30,12080.0,12082.0,12039.0,12057.0,3316
2026-04-23 09:40:00+05:30,12056.0,12080.0,12041.0,12078.0,3353
2026-04-23 09:45:00+05:30,12075.0,12095.0,12073.0,12086.0,1222
2026-04-23 09:50:00+05:30,12097.0,12110.0,12093.0,12105.0,3531
2026-04-23 09:55:00+05:30,12102.0,12103.0,12090.0,12094.0,1040
2026-04-23 10:00:00+05:30,12094.0,12124.0,12077.0,12122.0,1815
2026-04-23 10:05:00+05:30,12126.0,12129.0,12111.0,12125.0,1886
2026-04-23 10:10:00+05:30,12129.0,12132.0,12116.0,12120.0,1717
2026-04-23 10:15:00+05:30,12120.0,12130.0,12100.0,12120.0,1670
2026-04-23 10:20:00+05:30,12119.0,12130.0,12119.0,12128.0,1305
2026-04-23 10:25:00+05:30,12131.0,12133.0,12117.0,12126.0,1002
2026-04-23 10:30:00+05:30,12126.0,12126.0,12110.0,12113.0,653
2026-04-23 10:35:00+05:30,12113.0,12113.0,12099.0,12099.0,1489
2026-04-23 10:40:00+05:30,12099.0,12112.0,12099.0,12110.0,869
2026-04-23 10:45:00+05:30,12113.0,12127.0,12107.0,12120.0,1437
2026-04-23 10:50:00+05:30,12119.0,12130.0,12112.0,12121.0,870
2026-04-23 10:55:00+05:30,12121.0,12121.0,12103.0,12106.0,776
2026-04-23 11:00:00+05:30,12105.0,12118.0,12105.0,12118.0,925
2026-04-23 11:05:00+05:30,12113.0,12120.0,12100.0,12100.0,826
2026-04-23 11:10:00+05:30,12100.0,12109.0,12094.0,12101.0,5957
2026-04-23 11:15:00+05:30,12096.0,12115.0,12094.0,12113.0,1322
2026-04-23 11:20:00+05:30,12109.0,12112.0,12096.0,12102.0,3141
2026-04-23 11:25:00+05:30,12105.0,12110.0,12099.0,12099.0,1272
2026-04-23 11:30:00+05:30,12099.0,12106.0,12070.0,12070.0,7525
2026-04-23 11:35:00+05:30,12070.0,12077.0,12060.0,12074.0,2892
2026-04-23 11:40:00+05:30,12072.0,12084.0,12067.0,12072.0,1996
2026-04-23 11:45:00+05:30,12071.0,12094.0,12071.0,12078.0,1887
2026-04-23 11:50:00+05:30,12074.0,12088.0,12068.0,12081.0,2131
2026-04-23 11:55:00+05:30,12086.0,12087.0,12065.0,12067.0,1433
2026-04-23 12:00:00+05:30,12066.0,12074.0,12063.0,12063.0,1538
2026-04-23 12:05:00+05:30,12062.0,12065.0,12043.0,12043.0,2689
2026-04-23 12:10:00+05:30,12043.0,12055.0,12043.0,12046.0,1399
2026-04-23 12:15:00+05:30,12048.0,12049.0,12040.0,12046.0,1924
2026-04-23 12:20:00+05:30,12047.0,12063.0,12040.0,12056.0,1792
2026-04-23 12:25:00+05:30,12055.0,12055.0,12019.0,12020.0,7767
2026-04-23 12:30:00+05:30,12019.0,12027.0,12011.0,12024.0,2468
2026-04-23 12:35:00+05:30,12024.0,12032.0,12018.0,12018.0,1719
2026-04-23 12:40:00+05:30,12021.0,12042.0,12016.0,12036.0,3565
2026-04-23 12:45:00+05:30,12032.0,12033.0,12015.0,12015.0,1774
2026-04-23 12:50:00+05:30,12015.0,12022.0,12009.0,12019.0,1983
2026-04-23 12:55:00+05:30,12018.0,12045.0,12016.0,12034.0,1691
2026-04-23 13:00:00+05:30,12040.0,12045.0,12025.0,12028.0,1489
2026-04-23 13:05:00+05:30,12029.0,12065.0,12029.0,12065.0,1325
2026-04-23 13:10:00+05:30,12065.0,12075.0,12062.0,12075.0,1653
2026-04-23 13:15:00+05:30,12075.0,12102.0,12059.0,12102.0,2306
2026-04-23 13:20:00+05:30,12105.0,12123.0,12102.0,12121.0,4408
2026-04-23 13:25:00+05:30,12122.0,12129.0,12108.0,12124.0,2824
2026-04-23 13:30:00+05:30,12127.0,12132.0,12110.0,12110.0,5984
2026-04-23 13:35:00+05:30,12114.0,12125.0,12111.0,12115.0,3464
2026-04-23 13:40:00+05:30,12116.0,12116.0,12083.0,12092.0,4621
2026-04-23 13:45:00+05:30,12095.0,12095.0,12079.0,12085.0,1858
2026-04-23 13:50:00+05:30,12088.0,12104.0,12087.0,12099.0,2112
2026-04-23 13:55:00+05:30,12095.0,12118.0,12095.0,12105.0,1742
2026-04-23 14:00:00+05:30,12109.0,12113.0,12098.0,12099.0,1439
2026-04-23 14:05:00+05:30,12099.0,12104.0,12097.0,12100.0,1438
2026-04-23 14:10:00+05:30,12100.0,12105.0,12094.0,12101.0,3604
2026-04-23 14:15:00+05:30,12100.0,12130.0,12099.0,12120.0,2964
2026-04-23 14:20:00+05:30,12116.0,12132.0,12104.0,12121.0,3553
2026-04-23 14:25:00+05:30,12121.0,12136.0,12114.0,12123.0,3473
2026-04-23 14:30:00+05:30,12121.0,12129.0,12113.0,12123.0,2023
2026-04-23 14:35:00+05:30,12127.0,12129.0,12114.0,12117.0,2228
2026-04-23 14:40:00+05:30,12115.0,12124.0,12090.0,12090.0,3133
2026-04-23 14:45:00+05:30,12099.0,12120.0,12096.0,12118.0,2186
2026-04-23 14:50:00+05:30,12116.0,12123.0,12107.0,12115.0,1854
2026-04-23 14:55:00+05:30,12118.0,12130.0,12110.0,12129.0,2998
2026-04-23 15:00:00+05:30,12138.0,12157.0,12135.0,12139.0,10444
2026-04-23 15:05:00+05:30,12139.0,12166.0,12135.0,12161.0,5280
2026-04-23 15:10:00+05:30,12167.0,12171.0,12151.0,12163.0,3171
2026-04-23 15:15:00+05:30,12165.0,12195.0,12164.0,12195.0,5157
2026-04-23 15:20:00+05:30,12190.0,12211.0,12186.0,12198.0,4913
2026-04-23 15:25:00+05:30,12197.0,12213.0,12150.0,12150.0,4701
2026-04-24 09:15:00+05:30,12195.0,12243.0,12160.0,12174.0,0
2026-04-24 09:20:00+05:30,12170.0,12210.0,12130.0,12210.0,3751
2026-04-24 09:25:00+05:30,12194.0,12202.0,12164.0,12168.0,1800
2026-04-24 09:30:00+05:30,12159.0,12185.0,12151.0,12156.0,4085
2026-04-24 09:35:00+05:30,12156.0,12182.0,12152.0,12169.0,3196
2026-04-24 09:40:00+05:30,12169.0,12181.0,12160.0,12174.0,1336
2026-04-24 09:45:00+05:30,12176.0,12177.0,12150.0,12156.0,679
2026-04-24 09:50:00+05:30,12156.0,12185.0,12152.0,12172.0,2258
2026-04-24 09:55:00+05:30,12172.0,12184.0,12156.0,12172.0,985
2026-04-24 10:00:00+05:30,12177.0,12195.0,12172.0,12187.0,876
2026-04-24 10:05:00+05:30,12193.0,12200.0,12185.0,12198.0,893
2026-04-24 10:10:00+05:30,12192.0,12204.0,12192.0,12202.0,763
2026-04-24 10:15:00+05:30,12200.0,12202.0,12183.0,12186.0,1724
2026-04-24 10:20:00+05:30,12191.0,12191.0,12140.0,12148.0,2754
2026-04-24 10:25:00+05:30,12146.0,12159.0,12143.0,12145.0,621
2026-04-24 10:30:00+05:30,12146.0,12157.0,12132.0,12135.0,38789
2026-04-24 10:35:00+05:30,12138.0,12150.0,12134.0,12145.0,263
2026-04-24 10:40:00+05:30,12145.0,12152.0,12145.0,12150.0,664
2026-04-24 10:45:00+05:30,12150.0,12150.0,12120.0,12125.0,1106
2026-04-24 10:50:00+05:30,12125.0,12146.0,12124.0,12144.0,729
2026-04-24 10:55:00+05:30,12143.0,12147.0,12132.0,12135.0,959
2026-04-24 11:00:00+05:30,12138.0,12143.0,12122.0,12142.0,1491
2026-04-24 11:05:00+05:30,12140.0,12147.0,12135.0,12139.0,327
2026-04-24 11:10:00+05:30,12139.0,12167.0,12135.0,12149.0,3771
2026-04-24 11:15:00+05:30,12148.0,12150.0,12142.0,12145.0,879
2026-04-24 11:20:00+05:30,12145.0,12150.0,12137.0,12140.0,446
2026-04-24 11:25:00+05:30,12140.0,12152.0,12130.0,12140.0,1534
2026-04-24 11:30:00+05:30,12146.0,12150.0,12137.0,12137.0,435
2026-04-24 11:35:00+05:30,12142.0,12142.0,12126.0,12133.0,9070
2026-04-24 11:40:00+05:30,12135.0,12135.0,12125.0,12129.0,841
2026-04-24 11:45:00+05:30,12129.0,12130.0,12114.0,12122.0,1166
2026-04-24 11:50:00+05:30,12121.0,12121.0,12103.0,12113.0,1273
2026-04-24 11:55:00+05:30,12115.0,12120.0,12105.0,12113.0,501
2026-04-24 12:00:00+05:30,12108.0,12112.0,12081.0,12081.0,1242
2026-04-24 12:05:00+05:30,12079.0,12084.0,12064.0,12079.0,859
2026-04-24 12:10:00+05:30,12079.0,12079.0,12070.0,12078.0,495
2026-04-24 12:15:00+05:30,12078.0,12078.0,12056.0,12067.0,722
