Datetime,Open,High,Low,Close,Volume
2026-04-23 09:15:00+05:30,1372.0,1374.4000244140625,1365.4000244140625,1371.199951171875,0
2026-04-23 09:20:00+05:30,1371.4000244140625,1376.0,1370.4000244140625,1373.4000244140625,80766
2026-04-23 09:25:00+05:30,1373.699951171875,1375.4000244140625,1371.9000244140625,1375.4000244140625,58305
2026-04-23 09:30:00+05:30,1374.4000244140625,1378.0,1373.9000244140625,1375.5,62124
2026-04-23 09:35:00+05:30,1375.0999755859375,1376.699951171875,1374.699951171875,1375.9000244140625,55760
2026-04-23 09:40:00+05:30,1376.199951171875,1379.5999755859375,1375.800048828125,1379.5,29205
2026-04-23 09:45:00+05:30,1378.800048828125,1381.4000244140625,1377.699951171875,1380.699951171875,56053
2026-04-23 09:50:00+05:30,1380.699951171875,1382.300048828125,1380.0999755859375,1380.0999755859375,59202
2026-04-23 09:55:00+05:30,1380.699951171875,1382.5,1379.199951171875,1380.0,63223
2026-04-23 10:00:00+05:30,1380.0,1381.9000244140625,1378.300048828125,1381.199951171875,107317
2026-04-23 10:05:00+05:30,1381.0,1381.5999755859375,1379.699951171875,1380.0,123155
2026-04-23 10:10:00+05:30,1380.199951171875,1381.9000244140625,1379.0,1381.199951171875,49479
2026-04-23 10:15:00+05:30,1381.5999755859375,1383.5,1381.4000244140625,1383.300048828125,56988
2026-04-23 10:20:00+05:30,1383.199951171875,1384.199951171875,1381.199951171875,1381.199951171875,50168
2026-04-23 10:25:00+05:30,1381.0,1382.0999755859375,1380.300048828125,1380.5,31984
2026-04-23 10:30:00+05:30,1380.5,1381.0,1378.699951171875,1380.699951171875,51882
2026-04-23 10:35:00+05:30,1381.0,1381.9000244140625,1378.0,1378.699951171875,64915
2026-04-23 10:40:00+05:30,1378.800048828125,1379.4000244140625,1375.800048828125,1376.199951171875,46411
2026-04-23 10:45:00+05:30,1376.0,1377.9000244140625,1375.199951171875,1376.5999755859375,69432
2026-04-23 10:50:00+05:30,1376.5999755859375,1377.9000244140625,1375.199951171875,1376.199951171875,42952
2026-04-23 10:55:00+05:30,1376.0999755859375,1376.0999755859375,1372.699951171875,1373.199951171875,49775
2026-04-23 11:00:00+05:30,1373.199951171875,1374.300048828125,1372.0,1372.4000244140625,52052
2026-04-23 11:05:00+05:30,1372.300048828125,1373.0,1371.5999755859375,1371.800048828125,32222
2026-04-23 11:10:00+05:30,1372.0,1372.4000244140625,1368.800048828125,1369.300048828125,80696
2026-04-23 11:15:00+05:30,1369.0999755859375,1370.699951171875,1368.300048828125,1369.5999755859375,38747
2026-04-23 11:20:00+05:30,1369.5999755859375,1371.300048828125,1369.300048828125,1369.5,34360
2026-04-23 11:25:00+05:30,1369.5,1373.5999755859375,1369.300048828125,1372.9000244140625,48136
2026-04-23 11:30:00+05:30,1373.0,1373.9000244140625,1371.800048828125,1373.4000244140625,23471
2026-04-23 11:35:00+05:30,1373.800048828125,1374.0,1371.9000244140625,1372.199951171875,39804
2026-04-23 11:40:00+05:30,1372.199951171875,1373.0999755859375,1371.0,1371.5,28661
2026-04-23 11:45:00+05:30,1371.199951171875,1372.699951171875,1370.0,1370.0999755859375,27796
2026-04-23 11:50:00+05:30,1370.4000244140625,1373.800048828125,1369.9000244140625,1373.4000244140625,20791
2026-04-23 11:55:00+05:30,1373.699951171875,1374.0,1371.0,1372.9000244140625,60684
